,TimeStep,GHI,T,Wind,Load
0,0,0.0,7.511475409836066,2.719672131147541,383.9693221065574
0,1,0.0,7.277049180327868,2.5819672131147544,373.49935845081967
0,2,0.0,7.10327868852459,2.660655737704918,368.65519863934423
0,3,0.0,7.004918032786886,2.8131147540983608,371.2807846147541
0,4,0.1803278688524591,6.78360655737705,2.6475409836065573,380.0034952327869
0,5,8.672131147540986,6.724590163934426,2.3114754098360653,400.2049270590164
0,6,40.0655737704918,6.718032786885246,2.5901639344262293,449.8011444295082
0,7,94.68852459016392,7.032786885245901,2.639344262295082,484.2937852262295
0,8,152.9344262295082,7.668852459016392,2.981967213114754,501.20847167540984
0,9,221.72131147540983,8.334426229508196,3.0491803278688527,507.8205928114754
0,10,249.31147540983602,8.960655737704919,3.1639344262295084,517.2501716918033
0,11,272.9508196721311,9.350819672131149,3.2295081967213117,526.0943458803279
0,12,290.39344262295083,9.827868852459016,3.2622950819672125,526.5688294131148
0,13,266.9508196721311,10.193442622950819,3.2131147540983602,522.3181316983606
0,14,217.52459016393442,10.186885245901639,3.3114754098360653,512.9929226327869
0,15,160.2622950819672,10.072131147540983,3.245901639344263,504.7730094245902
0,16,94.22950819672131,9.855737704918035,2.913114754098361,495.2015599016393
0,17,37.52459016393442,9.427868852459017,2.7704918032786887,495.7700214393443
0,18,7.819672131147532,8.947540983606558,2.6475409836065573,497.0704271032787
0,19,0.1639344262295088,8.481967213114753,2.527868852459016,497.77616581311474
0,20,0.0,8.221311475409834,2.401639344262295,483.8213348672131
0,21,0.0,8.016393442622952,2.3672131147540982,466.72584617049176
0,22,0.0,7.875409836065572,2.4377049180327868,441.99434289508196
0,23,0.0,7.755737704918033,2.5918032786885243,412.76175980163936
1,0,0.0,10.533333333333335,2.2725490196078426,357.18348485882353
1,1,0.0,10.262745098039218,2.492156862745098,345.25047524313726
1,2,0.0,9.998039215686276,2.4176470588235297,338.87329109019606
1,3,0.0,9.807843137254903,2.4176470588235297,337.53827363333335
1,4,1.6666666666666667,9.617647058823529,2.2960784313725493,337.5315127215687
1,5,30.9607843137255,9.588235294117645,2.215686274509803,337.32615976666665
1,6,96.80392156862744,9.898039215686275,2.2156862745098036,341.17400333725493
1,7,193.94117647058823,10.772549019607844,2.556862745098039,354.10632038039216
1,8,290.0,11.825490196078434,2.7450980392156863,377.1252341764706
1,9,393.607843137255,12.74313725490196,2.9411764705882355,397.65401542549023
1,10,471.39215686274514,13.901960784313726,3.223529411764706,409.0458665823529
1,11,506.19607843137254,14.71372549019608,3.3294117647058825,422.9684999137255
1,12,494.07843137254906,15.294117647058822,3.2784313725490195,422.59293606274514
1,13,451.1568627450981,15.662745098039213,3.196078431372549,411.59932783529416
1,14,402.4117647058823,15.86862745098039,2.9725490196078432,401.49739014901957
1,15,311.3725490196079,15.913725490196082,3.0,394.78612795294123
1,16,214.74509803921566,15.798039215686273,2.780392156862745,390.82524373137255
1,17,104.8235294117647,15.125490196078434,2.5588235294117645,394.5340401627451
1,18,31.215686274509796,14.152941176470588,2.131372549019608,400.04339695686275
1,19,1.1372549019607838,13.035294117647059,1.9784313725490192,402.3502065588235
1,20,0.0,12.186274509803923,2.041176470588235,396.3128125588235
1,21,0.0,11.7,2.2156862745098036,389.3585371254902
1,22,0.0,11.341176470588238,2.2901960784313724,382.5437568686275
1,23,0.0,10.97058823529412,2.256862745098039,361.3306159
2,0,0.0,0.5804878048780484,2.209756097560976,416.51337564634144
2,1,0.0,0.3878048780487777,2.153658536585366,405.0932088560976
2,2,0.0,0.26097560975609824,2.090243902439024,400.94709217804876
2,3,0.0,0.11951219512195266,1.804878048780488,404.15759613170735
2,4,0.0,0.10243902439024488,1.9243902439024387,410.43844698536583
2,5,1.1726730697603216e-14,0.03170731707316854,1.7073170731707317,426.3292987682927
2,6,1.2195121951219712,-0.004878048780486921,1.7073170731707317,472.18093284146335
2,7,15.829268292682972,0.12439024390243958,1.6829268292682933,509.7207272463415
2,8,53.82926829268291,0.3292682926829258,1.9512195121951212,526.5489843512196
2,9,108.75609756097556,0.6756097560975594,1.8292682926829267,531.3273202463415
2,10,147.65853658536585,1.2390243902439,1.9268292682926833,539.3231063292683
2,11,178.29268292682926,1.8414634146341466,2.24390243902439,545.6272606658537
2,12,166.8292682926829,2.3975609756097587,2.2682926829268295,546.0283495853658
2,13,149.14634146341464,2.765853658536585,2.1951219512195124,543.2822349073172
2,14,112.78048780487804,2.6829268292682933,2.048780487804878,537.4909814292683
2,15,51.17073170731708,2.4682926829268315,2.024390243902439,532.2143093365853
2,16,17.14634146341469,2.0414634146341477,1.9999999999999996,522.9062846414635
2,17,2.024390243902401,1.6048780487804901,1.804878048780488,534.6370152512195
2,18,-1.465841337200402e-14,1.3341463414634163,1.7804878048780488,544.5879025926829
2,19,5.496905014501507e-16,1.1048780487804883,1.8780487804878048,536.8221264317074
2,20,0.0,0.9756097560975636,1.926829268292683,512.7398736804878
2,21,0.0,0.89268292682927,1.8780487804878052,494.23578191707315
2,22,0.0,0.7902439024390286,2.021951219512195,473.88500058536584
2,23,0.0,0.6926829268292689,2.0829268292682923,443.7181840707317
3,0,0.0,4.957142857142857,5.952380952380952,382.439260552381
3,1,0.0,4.90952380952381,5.704761904761904,369.92728683333337
3,2,0.0,4.7333333333333325,5.876190476190476,363.47410858571425
